model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
2 Series,2019,Semi-Auto,2070,Petrol,145,40.9,1.5,21500
5 Series,2019,Automatic,13000,Diesel,145,65.7,2.0,26000
1 Series,2016,Manual,40911,Diesel,20,70.6,1.5,11899
4 Series,2019,Semi-Auto,6011,Diesel,145,60.1,2.0,29840
X5,2019,Automatic,15,Diesel,145,37.7,3.0,54991
X5,2019,Automatic,3951,Diesel,145,37.7,3.0,49980
3 Series,2019,Automatic,1550,Petrol,145,42.2,2.0,28940
5 Series,2019,Semi-Auto,5196,Diesel,145,65.7,2.0,24980
1 Series,2018,Manual,13132,Petrol,150,52.3,1.5,17995
2 Series,2015,Automatic,16000,Diesel,30,67.3,2.0,14470
2 Series,2019,Automatic,105,Petrol,145,47.9,2.0,22480
3 Series,2019,Semi-Auto,423,Petrol,145,34.9,3.0,41450
1 Series,2014,Manual,39390,Diesel,30,65.7,2.0,8500
1 Series,2016,Manual,20702,Diesel,30,65.7,2.0,13260
3 Series,2015,Automatic,70620,Diesel,125,60.1,2.0,12500
X2,2019,Semi-Auto,2724,Petrol,145,38.7,2.0,27890
3 Series,2020,Semi-Auto,9,Diesel,145,50.4,2.0,29990
3 Series,2017,Manual,29783,Petrol,125,52.3,1.5,12300
X2,2019,Automatic,7893,Diesel,145,58.9,2.0,28988
3 Series,2017,Manual,18452,Diesel,30,67.3,2.0,14990
3 Series,2017,Automatic,24536,Petrol,145,48.7,2.0,17541
3 Series,2019,Semi-Auto,11974,Diesel,145,54.3,2.0,23298
X2,2019,Automatic,999,Petrol,145,38.7,2.0,23976
X1,2016,Manual,71848,Diesel,125,58.9,2.0,12600
4 Series,2019,Semi-Auto,1777,Diesel,145,58.9,2.0,24990
3 Series,2015,Automatic,68000,Diesel,20,70.6,2.0,10990
3 Series,2016,Semi-Auto,56327,Diesel,145,53.3,3.0,17995
X5,2014,Automatic,37563,Diesel,205,47.1,3.0,26990
3 Series,2019,Semi-Auto,4251,Petrol,145,42.2,2.0,29464
3 Series,2016,Manual,17385,Diesel,20,72.4,2.0,12700
1 Series,2017,Semi-Auto,8500,Petrol,150,47.9,2.0,18471
X1,2019,Automatic,999,Petrol,145,35.3,2.0,27995
3 Series,2018,Automatic,13430,Diesel,145,49.6,3.0,27000
5 Series,2016,Automatic,34424,Diesel,30,62.8,2.0,14373
Z4,2020,Semi-Auto,105,Petrol,145,38.7,2.0,30990
5 Series,2017,Semi-Auto,11035,Diesel,145,56.5,3.0,28995
4 Series,2016,Manual,11834,Diesel,125,57.6,2.0,17999
1 Series,2015,Manual,55825,Petrol,150,50.4,1.6,8390
3 Series,2018,Automatic,44155,Diesel,145,60.1,2.0,16100
4 Series,2019,Semi-Auto,500,Diesel,145,65.7,2.0,26950
5 Series,2019,Semi-Auto,1400,Hybrid,135,156.9,2.0,32250
3 Series,2019,Semi-Auto,17794,Diesel,145,48.7,2.0,26498
3 Series,2018,Automatic,18627,Petrol,145,47.9,2.0,22800
X4,2018,Semi-Auto,935,Diesel,145,42.8,2.0,34000
1 Series,2019,Semi-Auto,2501,Petrol,150,55.5,1.5,18022
3 Series,2001,Automatic,90000,Petrol,325,27.7,3.0,3050
X3,2017,Semi-Auto,33275,Diesel,150,54.3,2.0,20495
3 Series,2018,Automatic,15331,Petrol,145,40.4,3.0,24000
1 Series,2019,Semi-Auto,7188,Diesel,145,68.9,1.5,22500
X4,2017,Semi-Auto,22768,Diesel,145,54.3,2.0,24500
1 Series,2015,Manual,49096,Diesel,20,68.9,2.0,9799
2 Series,2019,Semi-Auto,5058,Petrol,145,50.4,2.0,22500
3 Series,2019,Semi-Auto,5687,Diesel,145,52.3,2.0,25995
3 Series,2017,Automatic,38070,Diesel,145,64.2,2.0,15599
3 Series,2020,Semi-Auto,12,Diesel,145,48.7,2.0,32475
1 Series,2016,Automatic,24592,Diesel,20,68.9,2.0,12700
X4,2019,Semi-Auto,6747,Petrol,145,26.9,3.0,41980
X1,2017,Manual,29575,Diesel,145,58.9,2.0,17370
X1,2016,Manual,47908,Diesel,125,60.1,2.0,16000
1 Series,2016,Automatic,25138,Diesel,20,67.3,2.0,13600
1 Series,2014,Manual,25174,Diesel,20,68.9,2.0,9491
3 Series,2019,Automatic,9752,Diesel,145,49.6,2.0,31500
X3,2016,Semi-Auto,45142,Diesel,200,47.9,3.0,21950
1 Series,2015,Semi-Auto,26629,Diesel,125,60.1,2.0,15995
4 Series,2015,Semi-Auto,29627,Diesel,160,49.6,3.0,21149
2 Series,2017,Automatic,51468,Diesel,125,60.1,2.0,15800
1 Series,2017,Semi-Auto,17108,Diesel,145,61.4,2.0,18995
6 Series,2010,Automatic,92642,Diesel,260,40.9,3.0,8995
1 Series,2016,Manual,71381,Diesel,0,78.5,1.5,9349
1 Series,2013,Manual,56361,Diesel,30,62.8,2.0,8995
X3,2019,Semi-Auto,15,Diesel,145,54.3,2.0,35990
1 Series,2020,Semi-Auto,11512,Petrol,150,40.4,1.5,24551
4 Series,2014,Manual,50757,Petrol,165,46.3,2.0,11991
3 Series,2019,Semi-Auto,5888,Petrol,150,51.4,1.5,19750
3 Series,2017,Semi-Auto,29009,Diesel,150,64.2,2.0,17490
1 Series,2019,Manual,5382,Diesel,145,53.3,2.0,27190
X1,2017,Automatic,47047,Diesel,145,55.4,2.0,16500
1 Series,2016,Manual,19023,Diesel,20,68.9,2.0,14066
X3,2019,Semi-Auto,6156,Diesel,145,48.7,3.0,35495
7 Series,2017,Automatic,19812,Diesel,145,53.3,3.0,30850
X3,2016,Semi-Auto,37000,Diesel,145,54.3,2.0,20500
3 Series,2018,Semi-Auto,42565,Diesel,145,64.2,2.0,18700
X1,2019,Semi-Auto,4475,Diesel,145,53.3,2.0,27752
X1,2016,Manual,39917,Diesel,125,58.9,2.0,15991
2 Series,2015,Semi-Auto,47555,Diesel,30,65.7,2.0,13000
X2,2019,Automatic,123,Diesel,145,48.7,2.0,29770
4 Series,2015,Semi-Auto,33864,Diesel,125,60.1,2.0,18272
5 Series,2017,Automatic,28629,Diesel,125,60.1,2.0,23950
3 Series,2016,Automatic,13493,Petrol,160,44.1,2.0,18898
3 Series,2019,Semi-Auto,11659,Diesel,145,55.4,2.0,23250
2 Series,2016,Semi-Auto,29707,Petrol,205,43.5,2.0,18995
X5,2017,Automatic,28193,Petrol,150,29.1,4.4,36898
X1,2020,Semi-Auto,2000,Diesel,145,47.9,2.0,29991
X5,2019,Semi-Auto,100,Diesel,145,37.7,3.0,50832
3 Series,2020,Semi-Auto,22,Diesel,150,54.3,2.0,24990
5 Series,2017,Semi-Auto,24794,Diesel,30,65.7,2.0,21790
1 Series,2017,Manual,17724,Diesel,145,83.1,1.5,12415
1 Series,2018,Manual,16891,Petrol,150,53.3,1.5,15291
1 Series,2017,Manual,58023,Diesel,20,68.9,2.0,9600
3 Series,2012,Automatic,77028,Diesel,30,62.8,2.0,7995
X2,2019,Semi-Auto,4362,Petrol,145,39.2,2.0,27990
1 Series,2017,Semi-Auto,57796,Diesel,150,67.3,2.0,15490
4 Series,2017,Semi-Auto,19025,Diesel,125,60.1,2.0,19440
2 Series,2019,Automatic,8085,Hybrid,135,148.7,1.5,21450
5 Series,2015,Automatic,106000,Diesel,160,51.4,2.0,11700
3 Series,2014,Manual,94347,Diesel,30,65.7,2.0,8199
i3,2015,Automatic,33931,Hybrid,0,470.8,0.0,15498
3 Series,2018,Manual,38631,Diesel,145,62.8,2.0,15490
X1,2017,Manual,55426,Diesel,125,58.9,2.0,15300
1 Series,2015,Semi-Auto,38279,Diesel,125,60.1,2.0,13998
X4,2019,Semi-Auto,13142,Diesel,145,42.8,2.0,35480
3 Series,2019,Automatic,5741,Diesel,145,48.7,2.0,28488
4 Series,2019,Semi-Auto,6100,Petrol,145,41.5,3.0,30890
1 Series,2019,Semi-Auto,1000,Petrol,145,34.5,2.0,35995
2 Series,2017,Automatic,49264,Diesel,150,62.8,2.0,13400
1 Series,2016,Manual,28637,Petrol,125,53.3,1.5,11675
3 Series,2017,Semi-Auto,51260,Diesel,150,53.3,3.0,19116
2 Series,2016,Manual,56953,Diesel,30,64.2,2.0,11999
3 Series,2019,Semi-Auto,2307,Diesel,145,65.7,2.0,25330
1 Series,2019,Manual,10,Diesel,145,53.3,2.0,24990
X2,2018,Semi-Auto,12271,Diesel,145,61.4,2.0,25969
3 Series,2015,Automatic,47288,Diesel,30,62.8,2.0,14450
2 Series,2017,Manual,22887,Petrol,145,55.4,1.5,14951
X4,2020,Automatic,5000,Diesel,145,40.9,3.0,44495
1 Series,2017,Automatic,22396,Petrol,145,54.3,1.5,16800
5 Series,2015,Manual,83643,Diesel,125,60.1,2.0,9899
X5,2016,Automatic,66246,Diesel,200,47.1,3.0,26510
X3,2015,Semi-Auto,38013,Diesel,150,54.3,2.0,17495
5 Series,2019,Automatic,2386,Diesel,145,65.7,2.0,30980
X2,2019,Automatic,11151,Petrol,145,40.4,2.0,21400
1 Series,2018,Semi-Auto,14324,Diesel,150,49.6,2.0,18450
X1,2017,Manual,23692,Diesel,125,58.9,2.0,17995
3 Series,2016,Semi-Auto,32857,Diesel,30,64.2,2.0,16991
2 Series,2019,Semi-Auto,15,Petrol,145,47.9,2.0,26806
3 Series,2016,Manual,27796,Petrol,205,43.5,2.0,15500
1 Series,2013,Manual,73000,Diesel,0,74.3,1.6,6491
X1,2016,Manual,32313,Diesel,20,68.9,2.0,15000
2 Series,2019,Semi-Auto,6139,Petrol,145,47.9,2.0,23246
1 Series,2014,Manual,55834,Petrol,300,35.3,3.0,13298
3 Series,2015,Manual,58696,Diesel,125,61.4,2.0,11057
2 Series,2020,Semi-Auto,10,Petrol,150,39.2,1.5,23990
X6,2016,Semi-Auto,26615,Diesel,200,44.8,3.0,32800
1 Series,2019,Automatic,14147,Diesel,145,51.4,2.0,27860
5 Series,2019,Automatic,12541,Petrol,145,50.4,2.0,21950
5 Series,2019,Semi-Auto,8260,Hybrid,140,156.9,2.0,32600
X1,2017,Automatic,33358,Diesel,125,60.1,2.0,17998
8 Series,2019,Automatic,4075,Petrol,145,26.7,3.0,69898
3 Series,2019,Semi-Auto,7537,Diesel,145,43.5,3.0,39020
1 Series,2015,Manual,35000,Petrol,125,51.4,1.6,8290
M4,2020,Automatic,10,Petrol,150,34.0,3.0,45488
3 Series,2016,Manual,97758,Diesel,20,72.4,2.0,9449
X1,2019,Manual,6786,Petrol,145,51.4,1.5,24775
1 Series,2013,Automatic,24000,Petrol,205,40.9,2.0,9000
4 Series,2020,Manual,151,Diesel,150,62.8,2.0,27669
7 Series,2017,Automatic,36500,Diesel,145,57.6,3.0,29999
X3,2019,Automatic,3280,Diesel,145,54.3,2.0,43740
4 Series,2017,Automatic,19708,Diesel,145,65.7,2.0,18800
3 Series,2016,Automatic,20000,Diesel,135,56.5,3.0,16500
2 Series,2019,Manual,101,Petrol,145,52.3,1.5,21980
3 Series,2016,Automatic,72280,Diesel,20,70.6,2.0,12299
1 Series,2016,Manual,44384,Diesel,20,68.9,2.0,10200
1 Series,2016,Automatic,43000,Diesel,30,65.7,2.0,12490
4 Series,2017,Semi-Auto,13543,Diesel,160,50.4,3.0,24995
X3,2017,Automatic,53325,Diesel,145,54.3,2.0,14900
1 Series,2014,Manual,80664,Diesel,30,64.2,2.0,8310
4 Series,2019,Automatic,10,Petrol,145,45.6,2.0,34995
5 Series,2017,Semi-Auto,25260,Diesel,145,60.1,2.0,21998
3 Series,2009,Manual,125000,Diesel,125,60.1,2.0,4150
3 Series,2020,Semi-Auto,1000,Diesel,145,49.6,2.0,38995
5 Series,2015,Automatic,79340,Diesel,30,62.8,2.0,11500
3 Series,2019,Manual,4293,Diesel,145,64.2,2.0,24990
4 Series,2017,Manual,13471,Petrol,145,46.3,2.0,17495
X7,2019,Automatic,7901,Diesel,145,31.4,3.0,74980
1 Series,2019,Semi-Auto,11308,Diesel,145,67.3,2.0,19598
3 Series,2019,Semi-Auto,10785,Diesel,150,54.3,2.0,23298
5 Series,2014,Semi-Auto,62890,Diesel,160,51.4,3.0,14090
X3,2019,Semi-Auto,4386,Diesel,150,54.3,2.0,32250
5 Series,2019,Automatic,8612,Petrol,145,48.7,2.0,31580
X2,2019,Automatic,49,Diesel,145,50.4,2.0,27000
5 Series,2020,Semi-Auto,100,Diesel,145,60.1,2.0,41995
3 Series,2017,Semi-Auto,42359,Diesel,150,64.2,2.0,18780
M4,2019,Semi-Auto,8787,Petrol,145,34.0,3.0,39275
1 Series,2009,Manual,103000,Petrol,160,46.3,2.0,3995
1 Series,2017,Manual,65681,Diesel,20,70.6,2.0,9400
X4,2019,Semi-Auto,15118,Petrol,150,26.9,3.0,38000
2 Series,2015,Semi-Auto,27494,Diesel,20,68.9,2.0,11837
1 Series,2019,Semi-Auto,9908,Petrol,150,47.9,2.0,20440
3 Series,2006,Automatic,61808,Petrol,305,35.8,2.0,4000
2 Series,2019,Semi-Auto,4560,Petrol,145,50.4,1.5,20657
4 Series,2017,Manual,36163,Diesel,145,62.8,2.0,17000
3 Series,2019,Semi-Auto,11629,Diesel,145,62.8,2.0,23450
2 Series,2016,Semi-Auto,18586,Petrol,125,51.4,1.5,15690
1 Series,2018,Semi-Auto,20438,Petrol,145,55.5,1.5,14980
1 Series,2017,Semi-Auto,25190,Petrol,145,39.8,3.0,20500
1 Series,2016,Manual,34933,Diesel,0,83.1,1.5,10699
1 Series,2019,Semi-Auto,2510,Diesel,145,51.4,2.0,25490
4 Series,2019,Automatic,4469,Petrol,145,48.7,2.0,24490
X1,2018,Semi-Auto,10545,Diesel,145,60.1,2.0,20000
3 Series,2019,Semi-Auto,10268,Diesel,150,52.3,2.0,27888
X1,2016,Manual,26018,Diesel,20,68.9,2.0,13700
X2,2019,Semi-Auto,2315,Diesel,145,58.9,2.0,29995
1 Series,2014,Automatic,64690,Diesel,30,64.2,2.0,10695
3 Series,2019,Automatic,5000,Diesel,145,47.9,3.0,37750
1 Series,2015,Semi-Auto,36510,Petrol,235,37.7,3.0,17962
X2,2019,Semi-Auto,3351,Petrol,145,39.2,2.0,29000
3 Series,2019,Semi-Auto,4416,Diesel,145,52.3,2.0,28950
4 Series,2018,Semi-Auto,7261,Diesel,145,60.1,2.0,20750
3 Series,2017,Manual,22723,Petrol,150,48.7,2.0,15490
1 Series,2016,Manual,43000,Diesel,0,83.1,1.5,11750
X1,2017,Semi-Auto,21330,Petrol,160,44.8,2.0,20980
1 Series,2019,Semi-Auto,5693,Petrol,150,40.4,1.5,23875
Z4,2020,Automatic,111,Petrol,145,38.7,2.0,31350
2 Series,2019,Semi-Auto,123,Diesel,145,49.6,2.0,23722
4 Series,2019,Semi-Auto,8042,Diesel,145,65.7,2.0,25480
X2,2019,Semi-Auto,9872,Diesel,145,61.4,2.0,23975
1 Series,2017,Semi-Auto,16761,Diesel,145,67.3,2.0,16800
3 Series,2019,Automatic,4400,Diesel,145,52.3,2.0,31630
X4,2020,Semi-Auto,1608,Petrol,145,26.9,3.0,45500
3 Series,2019,Semi-Auto,3500,Diesel,145,45.6,3.0,34450
1 Series,2017,Manual,20506,Diesel,145,68.9,2.0,13040
2 Series,2019,Manual,1000,Petrol,145,52.3,1.5,20980
X1,2019,Automatic,3197,Diesel,145,65.7,2.0,26020
3 Series,2016,Semi-Auto,22035,Diesel,30,62.8,2.0,16995
X5,2019,Semi-Auto,6000,Diesel,150,37.7,3.0,51000
1 Series,2019,Semi-Auto,1581,Diesel,145,74.3,2.0,22890
2 Series,2015,Manual,100230,Diesel,20,68.9,2.0,7395
3 Series,2020,Semi-Auto,12,Petrol,145,43.5,2.0,22850
3 Series,2019,Semi-Auto,3040,Petrol,145,34.9,3.0,36995
3 Series,2019,Automatic,1500,Petrol,145,42.2,2.0,28110
1 Series,2019,Automatic,16899,Petrol,145,54.3,1.5,18380
3 Series,2016,Automatic,73178,Diesel,20,70.6,2.0,11300
3 Series,2018,Semi-Auto,33188,Diesel,150,53.3,3.0,22895
M4,2018,Semi-Auto,8326,Petrol,145,34.0,3.0,35750
3 Series,2015,Automatic,16255,Diesel,30,65.7,2.0,14500
X5,2019,Automatic,6883,Diesel,145,37.7,3.0,43946
2 Series,2019,Automatic,2268,Petrol,145,42.2,1.5,19994
2 Series,2016,Manual,6593,Diesel,20,68.9,1.5,15400
X2,2019,Semi-Auto,13440,Diesel,145,58.9,2.0,27669
X4,2016,Automatic,42576,Diesel,200,47.9,3.0,20500
4 Series,2019,Semi-Auto,4940,Diesel,150,65.7,2.0,22690
2 Series,2019,Automatic,3479,Hybrid,135,113.0,1.5,24690
3 Series,2014,Manual,25372,Diesel,30,61.4,2.0,14995
1 Series,2017,Manual,40014,Diesel,20,70.6,1.5,13888
1 Series,2019,Manual,5623,Petrol,145,52.3,1.5,18999
3 Series,2020,Semi-Auto,892,Petrol,145,42.2,2.0,28980
5 Series,2016,Automatic,72924,Diesel,20,68.9,2.0,12639
2 Series,2017,Automatic,79715,Diesel,125,60.1,2.0,10999
4 Series,2019,Semi-Auto,10,Diesel,145,60.1,2.0,37450
4 Series,2019,Semi-Auto,4068,Diesel,150,65.7,2.0,26922
1 Series,2013,Automatic,62000,Diesel,30,64.2,2.0,9950
X5,2017,Automatic,10,Diesel,145,47.1,3.0,55990
1 Series,2016,Automatic,31800,Petrol,235,37.7,3.0,19875
3 Series,2016,Semi-Auto,45252,Diesel,30,65.7,2.0,13890
6 Series,2017,Automatic,17942,Petrol,145,32.1,4.4,27000
5 Series,2016,Automatic,47000,Diesel,30,62.8,2.0,14490
1 Series,2017,Automatic,26052,Diesel,145,68.9,2.0,15000
X5,2019,Semi-Auto,4544,Diesel,145,37.7,3.0,48940
5 Series,2017,Semi-Auto,23095,Diesel,125,60.1,2.0,23941
1 Series,2018,Semi-Auto,45648,Diesel,150,72.4,1.5,12200
6 Series,2017,Semi-Auto,20643,Diesel,145,51.4,3.0,27825
1 Series,2019,Automatic,3768,Diesel,145,48.7,2.0,29980
5 Series,2012,Automatic,86674,Diesel,235,43.5,3.0,11400
2 Series,2017,Manual,47301,Diesel,20,74.3,1.5,12900
3 Series,2016,Semi-Auto,9939,Diesel,160,51.4,3.0,20432
3 Series,2015,Automatic,59799,Diesel,30,62.8,2.0,12212
3 Series,2019,Semi-Auto,15221,Diesel,145,62.8,2.0,23298
1 Series,2019,Manual,5121,Petrol,145,44.1,1.5,23000
5 Series,2014,Semi-Auto,35822,Diesel,165,51.4,3.0,15498
2 Series,2019,Manual,151,Petrol,145,42.8,1.5,19870
4 Series,2019,Semi-Auto,3169,Diesel,150,53.3,3.0,28980
X5,2017,Automatic,42000,Diesel,145,42.8,3.0,36995
4 Series,2019,Semi-Auto,6644,Diesel,145,49.6,3.0,29990
1 Series,2016,Automatic,19277,Diesel,30,62.8,2.0,13600
5 Series,2017,Automatic,12727,Diesel,150,65.7,2.0,22300
4 Series,2019,Semi-Auto,11,Diesel,145,53.3,3.0,34995
2 Series,2016,Semi-Auto,24735,Diesel,30,62.8,2.0,15995
3 Series,2017,Automatic,64000,Hybrid,0,134.5,2.0,15795
4 Series,2016,Manual,24280,Diesel,30,62.8,2.0,16299
6 Series,2016,Automatic,27483,Diesel,200,49.6,3.0,21795
X3,2019,Semi-Auto,8829,Petrol,145,30.4,2.0,34995
3 Series,2019,Semi-Auto,8127,Diesel,145,48.7,2.0,29980
2 Series,2019,Automatic,13,Hybrid,135,113.0,1.5,26994
X1,2017,Automatic,40787,Diesel,125,57.6,2.0,17795
1 Series,2019,Manual,3710,Diesel,145,53.3,2.0,26720
4 Series,2019,Semi-Auto,10,Diesel,145,51.4,3.0,33890
1 Series,2014,Manual,81000,Diesel,30,65.7,2.0,8400
X4,2016,Automatic,27580,Diesel,205,47.9,3.0,26000
X1,2016,Semi-Auto,52061,Diesel,30,65.7,2.0,15500
3 Series,2017,Manual,47308,Diesel,145,72.4,2.0,12300
X7,2019,Automatic,2689,Diesel,145,33.6,3.0,69940
2 Series,2018,Semi-Auto,21204,Petrol,145,40.9,1.5,16780
1 Series,2017,Manual,26050,Diesel,145,68.9,2.0,13000
1 Series,2017,Manual,29227,Petrol,125,53.3,1.5,11850
2 Series,2016,Manual,38412,Diesel,30,64.2,2.0,13995
X2,2019,Semi-Auto,4500,Petrol,145,34.0,2.0,34173
1 Series,2016,Manual,43000,Diesel,20,72.4,1.5,8990
2 Series,2019,Manual,5907,Petrol,145,42.2,1.5,20875
X4,2019,Semi-Auto,9064,Diesel,150,42.8,2.0,33998
3 Series,2012,Automatic,47000,Diesel,235,44.1,3.0,10990
2 Series,2020,Semi-Auto,5000,Diesel,145,48.7,2.0,29999
5 Series,2016,Semi-Auto,44002,Diesel,20,68.9,2.0,13991
X3,2019,Semi-Auto,7115,Diesel,145,54.3,2.0,31990
X2,2019,Semi-Auto,5743,Petrol,145,38.7,2.0,23890
X1,2018,Semi-Auto,21336,Petrol,150,44.8,2.0,23961
X4,2017,Semi-Auto,30485,Diesel,150,47.9,3.0,26491
2 Series,2019,Semi-Auto,7477,Petrol,150,47.9,2.0,22950
X1,2013,Manual,64698,Diesel,160,51.4,2.0,7998
3 Series,2016,Automatic,30803,Hybrid,0,134.5,2.0,16899
3 Series,2019,Automatic,5035,Diesel,145,50.4,2.0,29555
2 Series,2020,Semi-Auto,500,Diesel,145,47.1,2.0,32993
1 Series,2014,Manual,63169,Diesel,30,64.2,2.0,9999
3 Series,2017,Semi-Auto,43362,Diesel,145,56.5,3.0,17000
3 Series,2016,Manual,47821,Diesel,30,64.2,2.0,13100
5 Series,2018,Semi-Auto,9270,Petrol,145,39.2,3.0,36162
1 Series,2019,Manual,500,Petrol,145,41.5,1.5,25995
2 Series,2019,Semi-Auto,4887,Diesel,145,65.7,2.0,21980
X5,2020,Semi-Auto,3500,Diesel,145,33.6,3.0,60990
